timestamp, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2019/03/28 14:12:31.440, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:32.441, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:33.441, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:34.656, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:35.657, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:36.658, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:37.659, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:38.660, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:39.661, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:40.662, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:41.663, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:42.664, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:43.665, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:44.792, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:45.793, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:46.794, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:47.795, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:48.796, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:49.797, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:50.798, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:51.799, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:52.800, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:53.801, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:55.021, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:56.022, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:57.023, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:58.024, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:12:59.025, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:00.026, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:01.027, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:02.028, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:03.029, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:04.030, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:05.031, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:06.032, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:07.033, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:08.033, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:09.034, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:10.077, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:11.078, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:12.079, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:13.080, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:14.081, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:15.082, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:16.083, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:17.084, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:18.085, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:19.086, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:20.087, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:21.088, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:22.089, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:23.089, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:24.090, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:25.091, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:26.092, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:27.093, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:28.094, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:29.095, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:30.096, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:31.097, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:32.098, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:33.098, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:34.099, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:35.100, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:36.101, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:37.102, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:38.103, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:39.104, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:40.123, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:41.124, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:42.125, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:43.126, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:44.126, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:45.127, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:46.128, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:47.129, 36, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:48.130, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:49.131, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:50.132, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:51.133, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
2019/03/28 14:13:52.134, 35, 0 %, 0 %, 16280 MiB, 16280 MiB, 0 MiB
